MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
6.243561663863074,28,2.066909455014857,4.829263245236082,346,2.018586966388333,38.14642818934886,-118.81592455265424,1.6574123579118125
14.310000289738827,7,3.7413391966442884,2.790315681899214,3319,2.7019241883877454,40.49219144694105,-123.25055987301504,4.8933376057578535
11.247915185359671,35,7.293474307198852,2.5377116237794706,4425,3.382839717900093,36.80266925665627,-122.89723271723433,5.39115767714609
9.381218778758512,28,5.871914945437977,1.754124421678366,891,2.4803275501947355,40.704108285583004,-120.16490975507261,3.5935183969071023
3.1842609661941115,14,2.0425078053467676,4.8149234293568455,736,3.574647476962414,35.59445026182239,-114.5976580712711,0.6704921811364509
3.183923284706837,10,8.43595713945458,1.1426643701279031,3875,1.8268521275659295,41.2670750433909,-117.07090848431919,2.189032198516163
1.8131705703547925,16,8.1824765863227,3.1092330922147626,2521,5.888564064127499,38.986569800812404,-115.32381133810867,1.59345881464996
13.126466040849092,16,6.387353303948501,1.771476203833875,4933,1.5396227748249693,34.57177136024427,-120.3354335366002,4.644449316820694
9.415610164404923,31,2.531706606210177,1.7555373065650848,1188,5.65972069827186,37.64084921688625,-123.56786300450001,3.608970489634362
10.913016089144637,42,8.132120396260678,2.322358643192848,4283,5.567890057013474,37.330305614882555,-114.25682362795585,3.975851931331891
1.2881829201412343,25,6.669708701850912,4.994568211170446,3259,3.62680240909749,33.37898821730334,-123.8282700933763,1.5059349970942095
14.57873793026792,13,8.255679817263673,0.7473483807791993,812,4.624551359180422,37.912429057506145,-114.5234834691891,6.218120869437961
12.654196971205904,6,8.013975939166723,3.1034381819158914,4796,3.180241489862939,35.14785623716958,-120.31322576150855,4.205146881290613
3.972747549495866,44,8.424016575662698,0.8715747111587473,3744,4.150172887712191,32.523487668096024,-123.89909594978118,2.456438721631937
3.5455495408994087,9,6.144064531236999,1.1953437349573353,3990,2.7028796871055936,41.48656157706565,-117.10842768275492,1.8845850006410976
3.5676631379480734,45,3.12259614554812,2.4780332379780443,2686,2.505795098927227,38.41490369064288,-114.19459695968646,3.5815956191848333
5.259391401433528,36,7.369259787037509,2.797070591058986,4409,3.8911489308475686,40.76918931870847,-114.34374277162408,3.4448315063575943
8.346590042851329,43,6.963790280415765,1.664565837640358,2208,3.4906483709199017,38.76056005013253,-122.39062988797582,3.930040356650308
7.047230260989621,20,7.938025497592697,1.9240570889348727,4893,3.897681845749905,35.56983692140113,-122.18752193933845,3.231568182635481
5.077207962772587,18,3.3590480484058824,0.8913515911516987,3714,2.433302906435115,37.12688072328811,-118.3446108538034,2.7739230519231537
9.565940526113312,43,3.5598015992023138,1.8644890272991272,1342,2.834789159084976,38.75746760347177,-117.62695173571676,3.5378502426247285
